player,role,batting_style,bowling_style,team
MS Dhoni,Wicketkeeper Batter,Right hand Bat,Right arm Medium,Chennai Super Kings
Akash Singh,Bowler,Right hand Bat,Left arm Medium fast,Chennai Super Kings
Moeen Ali,Batting Allrounder,Left hand Bat,Right arm Offbreak,Chennai Super Kings
Bhagath Varma,Bowling Allrounder,Right hand Bat,Right arm Offbreak,Chennai Super Kings
Deepak Chahar,Bowler,Right hand Bat,Right arm Medium,Chennai Super Kings
Devon Conway,Wicketkeeper Batter,Left hand Bat,Right arm Medium,Chennai Super Kings
Tushar Deshpande,Bowler,Left hand Bat,Right arm Medium,Chennai Super Kings
Shivam Dube,Allrounder,Left hand Bat,Right arm Medium,Chennai Super Kings
Ruturaj Gaikwad,Batter,Right hand Bat,Right arm Offbreak,Chennai Super Kings
Rajvardhan Hangargekar,Bowling Allrounder,Right hand Bat,Right arm Fast medium,Chennai Super Kings
Ravindra Jadeja,Allrounder,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
Sisanda Magala,Bowler,Right hand Bat,Right arm Fast medium,Chennai Super Kings
Ajay Mandal,Allrounder,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
Matheesha Pathirana,Bowler,Right hand Bat,Right arm Fast,Chennai Super Kings
Dwaine Pretorius,Bowling Allrounder,Right hand Bat,Right arm Medium fast,Chennai Super Kings
Ajinkya Rahane,Top order Batter,Right hand Bat,Right arm Medium,Chennai Super Kings
Shaik Rasheed,Batter,Right hand Bat,Legbreak,Chennai Super Kings
Ambati Rayudu,Middle order Batter,Right hand Bat,Right arm Offbreak,Chennai Super Kings
Mitchell Santner,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
Subhranshu Senapati,Top order Batter,Right hand Bat,Right arm Medium,Chennai Super Kings
Simarjeet Singh,Bowler,Right hand Bat,Right arm Medium fast,Chennai Super Kings
Nishant Sindhu,Allrounder,Left hand Bat,Slow Left arm Orthodox,Chennai Super Kings
Prashant Solanki,Bowler,Right hand Bat,Legbreak,Chennai Super Kings
Ben Stokes,Allrounder,Left hand Bat,Right arm Fast medium,Chennai Super Kings
Maheesh Theekshana,Bowler,Right hand Bat,Right arm Offbreak,Chennai Super Kings
Kyle Jamieson,Bowler,Right hand Bat,Right arm Fast medium,Chennai Super Kings
Mukesh Choudhary,Bowler,Left hand Bat,Left arm Medium,Chennai Super Kings
David Warner,Opening Batter,Left hand Bat,Legbreak,Delhi Capitals
Abishek Porel,Wicketkeeper Batter,Left hand Bat,DNB,Delhi Capitals
Khaleel Ahmed,Bowler,Right hand Bat,Left arm Medium,Delhi Capitals
Aman Hakim Khan,Allrounder,Right hand Bat,Right arm Medium,Delhi Capitals
Yash Dhull,Top order Batter,Right hand Bat,Right arm Offbreak,Delhi Capitals
Praveen Dubey,Bowler,Right hand Bat,Legbreak Googly,Delhi Capitals
Priyam Garg,Top order Batter,Right hand Bat,Right arm Medium,Delhi Capitals
Sarfaraz Khan,Middle order Batter,Right hand Bat,Legbreak,Delhi Capitals
Kuldeep Yadav,Bowler,Left hand Bat,Left arm Wrist spin,Delhi Capitals
Lalit Yadav,Allrounder,Right hand Bat,Right arm Offbreak,Delhi Capitals
Mitchell Marsh,Allrounder,Right hand Bat,Right arm Medium,Delhi Capitals
Mukesh Kumar,Bowler,Right hand Bat,Right arm Medium,Delhi Capitals
Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,Delhi Capitals
Lungi Ngidi,Bowler,Right hand Bat,Right arm Fast medium,Delhi Capitals
Anrich Nortje,Bowler,Right hand Bat,Right arm Fast,Delhi Capitals
Vicky Ostwal,Bowler,Right hand Bat,Slow Left arm Orthodox,Delhi Capitals
Manish Pandey,Top order Batter,Right hand Bat,Right arm Medium,Delhi Capitals
Ripal Patel,Middle order Batter,Right hand Bat,Right arm Medium fast,Delhi Capitals
Axar Patel,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,Delhi Capitals
Rovman Powell,Middle order Batter,Right hand Bat,Right arm Medium fast,Delhi Capitals
Rilee Rossouw,Top order Batter,Left hand Bat,Right arm Offbreak,Delhi Capitals
Chetan Sakariya,Bowler,Left hand Bat,Left arm Medium fast,Delhi Capitals
Phil Salt,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,Delhi Capitals
Ishant Sharma,Bowler,Right hand Bat,Right arm Fast medium,Delhi Capitals
Prithvi Shaw,Opening Batter,Right hand Bat,Right arm Offbreak,Delhi Capitals
Kamlesh Nagarkoti,Bowler,Right hand Bat,Right arm Fast,Delhi Capitals
Rishabh Pant,Wicketkeeper Batter,Left hand Bat,DNB,Delhi Capitals
Hardik Pandya,Allrounder,Right hand Bat,Right arm Medium fast,Gujarat Titans 
Srikar Bharat,Wicketkeeper Batter,Right hand Bat,DNB,Gujarat Titans 
Alzarri Joseph,Bowler,Right hand Bat,Right arm Fast,Gujarat Titans 
Josh Little,Bowler,Right hand Bat,Left arm Fast medium,Gujarat Titans 
Abhinav Manohar,Batting Allrounder,Right hand Bat,Legbreak Googly,Gujarat Titans 
David Miller,Middle order Batter,Left hand Bat,Right arm Offbreak,Gujarat Titans 
Mohammed Shami,Bowler,Right hand Bat,Right arm Fast,Gujarat Titans 
Darshan Nalkande,Bowler,Right hand Bat,Right arm Fast medium,Gujarat Titans 
Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,Gujarat Titans 
Urvil Patel,Wicketkeeper Batter,Right hand Bat,DNB,Gujarat Titans 
Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,Gujarat Titans 
Wriddhiman Saha,Wicketkeeper Batter,Right hand Bat,DNB,Gujarat Titans 
Ravisrinivasan Sai Kishore,Bowler,Left hand Bat,Slow Left arm Orthodox,Gujarat Titans 
Sai Sudharsan,Top order Batter,Left hand Bat,Legbreak,Gujarat Titans 
Pradeep Sangwan,Bowler,Right hand Bat,Left arm Medium,Gujarat Titans 
Dasun Shanaka,Allrounder,Right hand Bat,Right arm Medium,Gujarat Titans 
Vijay Shankar,Allrounder,Right hand Bat,Right arm Medium,Gujarat Titans 
Mohit Sharma,Bowler,Right hand Bat,Right arm Medium,Gujarat Titans 
Shivam Mavi,Bowler,Right hand Bat,Right arm Fast medium,Gujarat Titans 
Shubman Gill,Opening Batter,Right hand Bat,Right arm Offbreak,Gujarat Titans 
Odean Smith,Bowling Allrounder,Right hand Bat,Right arm Fast medium,Gujarat Titans 
Rahul Tewatia,Bowling Allrounder,Left hand Bat,Legbreak,Gujarat Titans 
Matthew Wade,Wicketkeeper Batter,Left hand Bat,Right arm Medium,Gujarat Titans 
Jayant Yadav,Bowler,Right hand Bat,Right arm Offbreak,Gujarat Titans 
Yash Dayal,Bowler,Right hand Bat,Left arm Medium fast,Gujarat Titans 
Kane Williamson,Top order Batter,Right hand Bat,DNB,Gujarat Titans 
Nitish Rana,Middle order Batter,Left hand Bat,Right arm Offbreak,Kolkata Knight Riders
Aarya Desai,Opening Batter,Left hand Bat,Right arm Offbreak,Kolkata Knight Riders
Vaibhav Arora,Bowler,Right hand Bat,Right arm Fast medium,Kolkata Knight Riders
Johnson Charles,Wicketkeeper Batter,Right hand Bat,DNB,Kolkata Knight Riders
Lockie Ferguson,Bowler,Right hand Bat,Right arm Fast,Kolkata Knight Riders
