position,batsmen,out_notout,runs,balls,fours,sixes,sr,team,Match_id
1,Devon Conway,out,1,6,0,0,16.66,Chennai Super Kings,1st
2,Ruturaj Gaikwad,out,92,50,4,9,184,Chennai Super Kings,1st
3,Moeen Ali,out,23,17,4,1,135.29,Chennai Super Kings,1st
4,Ben Stokes,out,7,6,1,0,116.66,Chennai Super Kings,1st
5,Ambati Rayudu,out,12,12,0,1,100,Chennai Super Kings,1st
6,Shivam Dube,out,19,18,0,1,105.55,Chennai Super Kings,1st
7,Ravindra Jadeja,out,1,2,0,0,50,Chennai Super Kings,1st
8,MS Dhoni ,not out,14,7,1,1,200,Chennai Super Kings,1st
9,Mitchell Santner,not out,1,3,0,0,33.33,Chennai Super Kings,1st
1,Wriddhiman Saha ,out,25,16,2,2,156.25,Gujarat Titans,1st
2,Shubman Gill,out,63,36,6,3,175,Gujarat Titans,1st
3,Sai Sudharsan,out,22,17,3,0,129.41,Gujarat Titans,1st
4,Hardik Pandya ,out,8,11,0,0,72.72,Gujarat Titans,1st
5,Vijay Shankar,out,27,21,2,1,128.57,Gujarat Titans,1st
6,Rahul Tewatia,not out,15,14,1,1,107.14,Gujarat Titans,1st
7,Rashid Khan,not out,10,3,1,1,333.33,Gujarat Titans,1st
1,Prabhsimran Singh,out,23,12,2,2,191.66,Punjab Kings,2nd
2,Shikhar Dhawan ,out,40,29,6,0,137.93,Punjab Kings,2nd
3,Bhanuka Rajapaksa,out,50,32,5,2,156.25,Punjab Kings,2nd
4,Jitesh Sharma ,out,21,11,1,2,190.9,Punjab Kings,2nd
5,Sikandar Raza,out,16,13,1,1,123.07,Punjab Kings,2nd
6,Sam Curran,not out,26,17,0,2,152.94,Punjab Kings,2nd
7,M Shahrukh Khan,not out,11,7,2,0,157.14,Punjab Kings,2nd
1,Mandeep Singh,out,2,4,0,0,50,Kolkata Knight Riders,2nd
2,Rahmanullah Gurbaz ,out,22,16,3,1,137.5,Kolkata Knight Riders,2nd
3,Anukul Roy,out,4,5,1,0,80,Kolkata Knight Riders,2nd
4,Venkatesh Iyer,out,34,28,3,1,121.42,Kolkata Knight Riders,2nd
5,Nitish Rana ,out,24,17,3,1,141.17,Kolkata Knight Riders,2nd
6,Rinku Singh,out,4,4,0,0,100,Kolkata Knight Riders,2nd
7,Andre Russell,out,35,19,3,2,184.21,Kolkata Knight Riders,2nd
8,Shardul Thakur,not out,8,3,0,1,266.66,Kolkata Knight Riders,2nd
9,Sunil Narine,not out,7,2,0,1,350,Kolkata Knight Riders,2nd
1,KL Rahul ,out,8,12,0,1,66.66,Lucknow Super Giants,3rd
2,Kyle Mayers,out,73,38,2,7,192.1,Lucknow Super Giants,3rd
3,Deepak Hooda,out,17,18,0,0,94.44,Lucknow Super Giants,3rd
4,Krunal Pandya,not out,15,13,0,1,115.38,Lucknow Super Giants,3rd
5,Marcus Stoinis,out,12,10,0,1,120,Lucknow Super Giants,3rd
6,Nicholas Pooran ,out,36,21,2,3,171.42,Lucknow Super Giants,3rd
7,Ayush Badoni,out,18,7,1,2,257.14,Lucknow Super Giants,3rd
8,Krishnappa Gowtham,not out,6,1,0,1,600,Lucknow Super Giants,3rd
1,Prithvi Shaw,out,12,9,2,0,133.33,Delhi Capitals,3rd
2,David Warner ,out,56,48,7,0,116.66,Delhi Capitals,3rd
3,Mitchell Marsh,out,0,1,0,0,0,Delhi Capitals,3rd
4,Sarfaraz Khan ,out,4,9,1,0,44.44,Delhi Capitals,3rd
5,Rilee Rossouw,out,30,20,3,1,150,Delhi Capitals,3rd
6,Rovman Powell,out,1,3,0,0,33.33,Delhi Capitals,3rd
7,Aman Hakim Khan,out,4,5,0,0,80,Delhi Capitals,3rd
8,Axar Patel,out,16,11,1,1,145.45,Delhi Capitals,3rd
9,Kuldeep Yadav,not out,6,10,0,0,60,Delhi Capitals,3rd
10,Chetan Sakariya,out,4,4,1,0,100,Delhi Capitals,3rd
11,Mukesh Kumar,not out,0,1,0,0,0,Delhi Capitals,3rd
1,Yashasvi Jaiswal,out,54,37,9,0,145.94,Rajasthan Royals,4th
2,Jos Buttler,out,54,22,7,3,245.45,Rajasthan Royals,4th
3,Sanju Samson ,out,55,32,3,4,171.87,Rajasthan Royals,4th
4,Devdutt Padikkal,out,2,5,0,0,40,Rajasthan Royals,4th
5,Riyan Parag,out,7,6,1,0,116.66,Rajasthan Royals,4th
6,Shimron Hetmyer,not out,22,16,1,1,137.5,Rajasthan Royals,4th
7,Ravichandran Ashwin,not out,1,2,0,0,50,Rajasthan Royals,4th
1,Abhishek Sharma,out,0,3,0,0,0,Sunrisers Hyderabad,4th
2,Mayank Agarwal,out,27,23,3,0,117.39,Sunrisers Hyderabad,4th
3,Rahul Tripathi,out,0,2,0,0,0,Sunrisers Hyderabad,4th
4,Harry Brook,out,13,21,1,0,61.9,Sunrisers Hyderabad,4th
5,Washington Sundar,out,1,5,0,0,20,Sunrisers Hyderabad,4th
6,Glenn Phillips ,out,8,6,0,1,133.33,Sunrisers Hyderabad,4th
7,Abdul Samad,not out,32,32,2,1,100,Sunrisers Hyderabad,4th
8,Adil Rashid,out,18,13,1,1,138.46,Sunrisers Hyderabad,4th
9,Bhuvneshwar Kumar ,out,6,10,0,0,60,Sunrisers Hyderabad,4th
10,Umran Malik,not out,19,8,1,2,237.5,Sunrisers Hyderabad,4th
1,Rohit Sharma ,out,1,10,0,0,10,Mumbai Indians,5th
2,Ishan Kishan ,out,10,13,2,0,76.92,Mumbai Indians,5th
3,Cameron Green,out,5,4,1,0,125,Mumbai Indians,5th
4,Suryakumar Yadav,out,15,16,1,0,93.75,Mumbai Indians,5th
5,Tilak Varma,not out,84,46,9,4,182.6,Mumbai Indians,5th
6,Nehal Wadhera,out,21,13,1,2,161.53,Mumbai Indians,5th
7,Tim David,out,4,7,0,0,57.14,Mumbai Indians,5th
8,Hrithik Shokeen,out,5,3,1,0,166.66,Mumbai Indians,5th
9,Arshad Khan,not out,15,9,0,1,166.66,Mumbai Indians,5th
1,Virat Kohli,not out,82,49,6,5,167.34,Royal Challengers Bangalore,5th
2,Faf du Plessis ,out,73,43,5,6,169.76,Royal Challengers Bangalore,5th
3,Dinesh Karthik ,out,0,3,0,0,0,Royal Challengers Bangalore,5th
4,Glenn Maxwell,not out,12,3,0,2,400,Royal Challengers Bangalore,5th
1,Ruturaj Gaikwad,out,57,31,3,4,183.87,Chennai Super Kings,6th
2,Devon Conway,out,47,29,5,2,162.06,Chennai Super Kings,6th
3,Shivam Dube,out,27,16,1,3,168.75,Chennai Super Kings,6th
4,Moeen Ali,out,19,13,3,0,146.15,Chennai Super Kings,6th
5,Ben Stokes,out,8,8,1,0,100,Chennai Super Kings,6th
6,Ambati Rayudu,not out,27,14,2,2,192.85,Chennai Super Kings,6th
7,Ravindra Jadeja,out,3,6,0,0,50,Chennai Super Kings,6th
8,MS Dhoni ,out,12,3,0,2,400,Chennai Super Kings,6th
9,Mitchell Santner,not out,1,1,0,0,100,Chennai Super Kings,6th
1,KL Rahul ,out,20,18,2,0,111.11,Lucknow Super Giants,6th
2,Kyle Mayers,out,53,22,8,2,240.9,Lucknow Super Giants,6th
3,Deepak Hooda,out,2,6,0,0,33.33,Lucknow Super Giants,6th
4,Krunal Pandya,out,9,9,0,1,100,Lucknow Super Giants,6th
5,Marcus Stoinis,out,21,18,0,1,116.66,Lucknow Super Giants,6th
6,Nicholas Pooran ,out,32,18,2,3,177.77,Lucknow Super Giants,6th
7,Ayush Badoni,out,23,18,0,0,127.77,Lucknow Super Giants,6th
8,Krishnappa Gowtham,not out,17,11,0,1,154.54,Lucknow Super Giants,6th
9,Mark Wood,not out,10,3,1,1,333.33,Lucknow Super Giants,6th
1,David Warner ,out,37,32,7,0,115.62,Delhi Capitals,7th
2,Prithvi Shaw,out,7,5,1,0,140,Delhi Capitals,7th
3,Mitchell Marsh,out,4,4,1,0,100,Delhi Capitals,7th
4,Sarfaraz Khan,out,30,34,2,0,88.23,Delhi Capitals,7th
5,Rilee Rossouw,out,0,1,0,0,0,Delhi Capitals,7th
6,Abishek Porel ,out,20,11,0,2,181.81,Delhi Capitals,7th
7,Axar Patel,out,36,22,2,3,163.63,Delhi Capitals,7th
8,Aman Hakim Khan,out,8,8,0,1,100,Delhi Capitals,7th
9,Kuldeep Yadav,not out,1,1,0,0,100,Delhi Capitals,7th
10,Anrich Nortje,not out,4,2,1,0,200,Delhi Capitals,7th
1,Wriddhiman Saha ,out,14,7,2,1,200,Gujarat Titans,7th
2,Shubman Gill,out,14,13,3,0,107.69,Gujarat Titans,7th
3,Sai Sudharsan,not out,62,48,4,2,129.16,Gujarat Titans,7th
4,Hardik Pandya ,out,5,4,1,0,125,Gujarat Titans,7th
5,Vijay Shankar,out,29,23,3,0,126.08,Gujarat Titans,7th
6,David Miller,not out,31,16,2,2,193.75,Gujarat Titans,7th
1,Prabhsimran Singh,out,60,34,7,3,176.47,Punjab Kings,8th
2,Shikhar Dhawan ,not out,86,56,9,3,153.57,Punjab Kings,8th
3,Bhanuka Rajapaksa,out,1,1,0,0,100,Punjab Kings,8th
4,Jitesh Sharma ,out,27,16,2,1,168.75,Punjab Kings,8th
5,Sikandar Raza,out,1,2,0,0,50,Punjab Kings,8th
6,M Shahrukh Khan,out,11,10,1,0,110,Punjab Kings,8th
7,Sam Curran,not out,1,2,0,0,50,Punjab Kings,8th
1,Yashasvi Jaiswal,out,11,8,1,1,137.5,Rajasthan Royals,8th
2,Ravichandran Ashwin,out,0,4,0,0,0,Rajasthan Royals,8th
3,Jos Buttler,out,19,11,1,1,172.72,Rajasthan Royals,8th
4,Sanju Samson ,out,42,25,5,1,168,Rajasthan Royals,8th
5,Devdutt Padikkal,out,21,26,1,0,80.76,Rajasthan Royals,8th
6,Riyan Parag,out,20,12,1,2,166.66,Rajasthan Royals,8th
7,Shimron Hetmyer,out,36,18,1,3,200,Rajasthan Royals,8th
8,Dhruv Jurel,not out,32,15,3,2,213.33,Rajasthan Royals,8th
