bowler,overs,runs,wickets,maidens,economy,dot_balls,fours,sixes,wide_balls,no_balls,Match_id,team
Mohammed Shami,4,29,2,0,7.25,13,2,2,0,1,1st,Gujarat Titans
Hardik Pandya,3,28,0,0,9.33,6,2,2,0,0,1st,Gujarat Titans
Josh Little,4,41,1,0,10.25,10,4,3,0,0,1st,Gujarat Titans
Rashid Khan,4,26,2,0,6.5,10,2,1,0,0,1st,Gujarat Titans
Alzarri Joseph,4,33,2,0,8.25,8,0,3,0,0,1st,Gujarat Titans
Yash Dayal,1,14,0,0,14,2,0,2,0,0,1st,Gujarat Titans
Deepak Chahar,4,29,0,0,7.25,9,1,2,0,0,1st,Chennai Super Kings
Tushar Deshpande,3.2,51,1,0,15.3,5,4,4,1,1,1st,Chennai Super Kings
Rajvardhan Hangargekar,4,36,3,0,9,10,4,1,3,1,1st,Chennai Super Kings
Mitchell Santner,4,32,0,0,8,7,5,0,0,0,1st,Chennai Super Kings
Ravindra Jadeja,4,28,1,0,7,9,1,1,0,0,1st,Chennai Super Kings
Umesh Yadav,4,27,1,0,6.75,11,2,1,0,0,2nd,Kolkata Knight Riders
Tim Southee,4,54,2,0,13.5,7,6,3,0,0,2nd,Kolkata Knight Riders
Sunil Narine,4,40,1,0,10,8,3,2,1,0,2nd,Kolkata Knight Riders
Varun Chakravarthy,4,26,1,0,6.5,10,2,1,1,0,2nd,Kolkata Knight Riders
Shardul Thakur,4,43,0,0,10.75,7,4,2,0,1,2nd,Kolkata Knight Riders
Sam Curran,3,38,1,0,12.66,4,3,3,0,0,2nd,Punjab Kings
Arshdeep Singh,3,19,3,0,6.33,10,2,1,0,0,2nd,Punjab Kings
Nathan Ellis,3,27,1,0,9,8,2,1,0,2,2nd,Punjab Kings
Sikandar Raza,3,25,1,0,8.33,5,3,0,1,0,2nd,Punjab Kings
Rishi Dhawan,1,15,0,0,15,2,2,1,0,0,2nd,Punjab Kings
Rahul Chahar,2,12,1,0,6,5,0,1,0,0,2nd,Punjab Kings
Harpreet Brar,1,7,0,0,7,3,1,0,0,0,2nd,Punjab Kings
Khaleel Ahmed,4,30,2,0,7.5,15,3,2,1,0,3rd,Delhi Capitals
Mukesh Kumar,4,34,0,0,8.5,5,0,2,1,0,3rd,Delhi Capitals
Chetan Sakariya,4,53,2,0,13.25,8,1,6,3,0,3rd,Delhi Capitals
Axar Patel,4,38,1,0,9.5,8,1,3,0,0,3rd,Delhi Capitals
Kuldeep Yadav,4,35,1,0,8.75,7,0,3,0,0,3rd,Delhi Capitals
Kyle Mayers,1,7,0,0,7,3,1,0,1,0,3rd,Lucknow Super Giants
Jaydev Unadkat,3,39,0,0,13,3,5,0,2,0,3rd,Lucknow Super Giants
Krishnappa Gowtham,4,23,0,0,5.75,9,2,0,1,0,3rd,Lucknow Super Giants
Avesh Khan,4,29,2,0,7.25,12,3,1,0,0,3rd,Lucknow Super Giants
Mark Wood,4,14,5,0,3.5,17,1,0,1,1,3rd,Lucknow Super Giants
Ravi Bishnoi,4,31,2,0,7.75,8,3,1,0,0,3rd,Lucknow Super Giants
Bhuvneshwar Kumar,3,36,0,0,12,6,4,2,1,0,4th,Sunrisers Hyderabad
Fazalhaq Farooqi,4,41,2,0,10.25,11,7,0,0,0,4th,Sunrisers Hyderabad
Washington Sundar,3,32,0,0,10.66,5,1,3,0,0,4th,Sunrisers Hyderabad
